archive_edition_id,official_archive_url,edition_date_token,edition_date_token_current_status,relevant_to_development_cutoff,earliest_relevant_cutoff,latest_relevant_cutoff,already_retained_by_prior_capture,requested_official_release_date,requested_official_release_month_confirmation,note
WDI_2024_02_22,https://databank.worldbank.org/data/download/Archive/WDI_excel_2024_02_22.zip,2024-02-22,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2024_05_30,https://databank.worldbank.org/data/download/Archive/WDI_excel_2024_05_30.zip,2024-05-30,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2024_07_01,https://databank.worldbank.org/data/download/Archive/WDI_excel_2024_07_01.zip,2024-07-01,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2024_09_25,https://databank.worldbank.org/data/download/Archive/WDI_excel_2024_09_25.zip,2024-09-25,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2024_10_24,https://databank.worldbank.org/data/download/Archive/WDI_excel_2024_10_24.zip,2024-10-24,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2024_11_13,https://databank.worldbank.org/data/download/Archive/WDI_excel_2024_11_13.zip,2024-11-13,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2024_12_16,https://databank.worldbank.org/data/download/Archive/WDI_excel_2024_12_16.zip,2024-12-16,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2025_01_28,https://databank.worldbank.org/data/download/Archive/WDI_excel_2025_01_28.zip,2025-01-28,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2025_03_25,https://databank.worldbank.org/data/download/Archive/WDI_excel_2025_03_25.zip,2025-03-25,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2025_04_17,https://databank.worldbank.org/data/download/Archive/WDI_excel_2025_04_17.zip,2025-04-17,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2025_06_05,https://databank.worldbank.org/data/download/Archive/WDI_excel_2025_06_05.zip,2025-06-05,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2025_07_02,https://databank.worldbank.org/data/download/Archive/WDI_excel_2025_07_02.zip,2025-07-02,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2025_10_08,https://databank.worldbank.org/data/download/Archive/WDI_excel_2025_10_08.zip,2025-10-08,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2025_12_19,https://databank.worldbank.org/data/download/Archive/WDI_excel_2025_12_19.zip,2025-12-19,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2026_01_29,https://databank.worldbank.org/data/download/Archive/WDI_excel_2026_01_29.zip,2026-01-29,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2026_02_25,https://databank.worldbank.org/data/download/Archive/WDI_excel_2026_02_25.zip,2026-02-25,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
